Neighborhood,Latitude,Longitude
JARDIM CAMBURI,-20.2555059,-40.2699056
MARIA ORTIZ,-20.2569248,-40.3014763
ITARARÉ,-20.296463,-40.3118227
RESISTÊNCIA,-20.2733016,-40.3224522
CENTRO,-20.3309574,-40.2936686
JESUS DE NAZARETH,-20.3193494,-40.303658
JARDIM DA PENHA,-20.2860178,-40.2980504
CARATOÍRA,-20.3163353,-40.3565771
TABUAZEIRO,-20.2967399,-40.3251716
BONFIM,-20.3005835,-40.3149638
ILHA DO PRÍNCIPE,-20.3218897,-40.3526047
ANDORINHAS,-20.2894143,-40.3068748
SÃO PEDRO,-20.282531,-40.3370021
SANTO ANDRÉ,-20.279437,-40.3335656
SANTA MARTHA,-20.288489,-40.3103646
SANTO ANTÔNIO,-20.3094947,-40.355773
